24,05
30,69
23,78
27,46
49,27
30,42
41,92
39,46
25,26
48,50
43,09
64,72
71,58
39,66
53,37
52,88
50,89
22,02
47,35
48,40
59,07
39,73
49,52
59,38
49,06
10,97
44,59
40,28
47,20
36,89
48,74
67,52
45,63
47,57
51,00
42,55
36,96
45,78
20,83
70,83
17,14
76,81
88,52
61,11
66,67
70,83
44,19
47,50
39,47
55,26
56,76
30,56
63,64
41,94
58,06
60,00
62,07
57,69
40,00
62,50
47,62
50,00
65,00
78,95
72,22
83,33
47,06
60,00
28,57
7,69
69,23
58,33
45,45
54,55
63,64
63,64
60,00
70,00
37,50
50,00
87,50
71,43
33,33
66,67
40,00
60,00
60,00
80,00
100,00
100,00
50,00
50,00
75,00
33,33
66,67
66,67
66,67
100,00
100,00
100,00
100,00
100,00
50,00
50,00
50,00
100,00
100,00
0,00
0,00
0,00
0,00
100,00
100,00
100,00
100,00
100,00
100,00
100,00
100,00
100,00
100,00
