country
nigeria
ethiopia
egypt
dr congo
south africa
tanzania
kenya
uganda
algeria
sudan
morocco
angola
ghana
mozambique
madagascar
cameroon
côte d'ivoire
niger
burkina faso
mali
malawi
zambia
senegal
chad
somalia
zimbabwe
guinea
rwanda
benin
tunisia
burundi
south sudan
togo
sierra leone
libya
congo
liberia
central african republic
mauritania
eritrea
namibia
gambia
botswana
gabon
lesotho
guinea-bissau
equatorial guinea
mauritius
eswatini
djibouti
comoros
cabo verde
sao tome & principe
seychelles
