Damian Dimmich,ddimmich,http://www.tauri-tec.com,TRUE,UK,Undefined
Patrick Arminio,patrick91,http://patrick.wtf,TRUE,London,united kingdom
takaaki shimbo,takaaki82,,TRUE,,blank field
,thierri,,FALSE,,blank field
Hidde Bultsma,redodo,,FALSE,Kingdom of the Netherlands,Undefined
Simon Charette,charettes,http://charettes.name,TRUE,Montréal/ Québec,canada
Mariusz Felisiak,felixxm,https://twitter.com/MariuszFelisiak,TRUE,Toruń/ Poland,Undefined
,andreage,,TRUE,,blank field
Hasan Ramezani,hramezani,http://stackoverflow.com/users/3465428/hasan-ramezani,TRUE,Berlin,germany
Jaap Roes,jaap3,,TRUE,Arnhem/ Netherlands,netherlands
Carlton Gibson,carltongibson,https://noumenal.es/,TRUE,Spain,spain
Claude Paroz,claudep,http://www.2xlibre.net,TRUE,Switzerland,switzerland
Hasan Ramezani,hramezani,http://stackoverflow.com/users/3465428/hasan-ramezani,TRUE,Berlin,germany
Tom Forbes,orf,https://tomforb.es,TRUE,Lisbon,portugal
Tim Graham,timgraham,,TRUE,Philadelphia/ PA,united states
Tim Graham,timgraham,,TRUE,Philadelphia/ PA,united states
Tim Graham,timgraham,,TRUE,Philadelphia/ PA,united states
Tim Graham,timgraham,,TRUE,Philadelphia/ PA,united states
Carlton Gibson,carltongibson,https://noumenal.es/,FALSE,Spain,spain
Romain Garrigues,romgar,http://5minutes.youkidea.com,TRUE,London,united kingdom
Romain Garrigues,romgar,http://5minutes.youkidea.com,FALSE,London,united kingdom
Bennett Garner,bennett39,http://www.bennettgarner.com,FALSE,Brooklyn/ NY,united states
,djangocontributors,,FALSE,,blank field
Vishvajit Pathak,VishvajitP,,TRUE,Pune/ India,india
Hidde Bultsma,redodo,,TRUE,Kingdom of the Netherlands,Undefined
Tim Graham,timgraham,,TRUE,Philadelphia/ PA,united states
Can Sarıgöl,cansarigol,,FALSE,,blank field
Xavier Fernandez,xavfernandez,,TRUE,Paris/ France,france
Simon Charette,charettes,http://charettes.name,TRUE,Montréal/ Québec,canada
Hasan Ramezani,hramezani,http://stackoverflow.com/users/3465428/hasan-ramezani,TRUE,Berlin,germany
Yury V. Zaytsev,zyv,http://zaytsev.net,TRUE,Germany,germany
Claude Paroz,claudep,http://www.2xlibre.net,TRUE,Switzerland,switzerland
Sanyam Khurana,CuriousLearner,http://www.TheGeekyWay.com,TRUE,New Delhi/ India,india
Mariusz Felisiak,felixxm,https://twitter.com/MariuszFelisiak,TRUE,Toruń/ Poland,Undefined
François Freitag,francoisfreitag,,TRUE,,blank field
Hasan Ramezani,hramezani,http://stackoverflow.com/users/3465428/hasan-ramezani,TRUE,Berlin,germany
Mathew Payne,GeekMasher,https://blog.geekmasher.com,TRUE,United Kingdom,united kingdom
Daniel Musketa,vlt,vlt.github.io,TRUE,,blank field
Hidde Bultsma,redodo,,TRUE,Kingdom of the Netherlands,Undefined
Ian Foote,Ian-Foote,,TRUE,,blank field
Sergey Fedoseev,sir-sigurd,,TRUE,Chelyabinsk/ Russia,russia
oliver,MyungSeKyo,,TRUE,Seoul/ South Korea,korea
Tim Graham,timgraham,,TRUE,Philadelphia/ PA,united states
Tim Graham,timgraham,,FALSE,Philadelphia/ PA,united states
Hasan Ramezani,hramezani,http://stackoverflow.com/users/3465428/hasan-ramezani,TRUE,Berlin,germany
Mads Jensen,atombrella,https://comicwiki.dk/wiki/Forside,TRUE,Copenhagen/ Denmark,Undefined
,samomar,,FALSE,,blank field
Tobias Bengfort,xi,http://tobib.spline.de,TRUE,,blank field
Katie McLaughlin,glasnt,http://glasnt.com,TRUE,,blank field
Antonio Cavedoni,verbosus,http://cavedoni.com/,FALSE,,blank field
Basil Dubyk,samitnuk,,TRUE,Rivne,ukraine
Basil Dubyk,samitnuk,,TRUE,Rivne,ukraine
Srinivas Reddy Thatiparthy (శ్రీనివాస్  రెడ్డి తాటిపర్తి),srinivasreddy,,TRUE,Pune/India,india
Timothy Allen,FlipperPA,https://www.PyPhilly.org,TRUE,Philadelphia/ PA,united states
Srinivas Reddy Thatiparthy (శ్రీనివాస్  రెడ్డి తాటిపర్తి),srinivasreddy,,TRUE,Pune/India,india
Srinivas Reddy Thatiparthy (శ్రీనివాస్  రెడ్డి తాటిపర్తి),srinivasreddy,,TRUE,Pune/India,india
,minusf,,TRUE,,blank field
Shiv Prakash,shivanand217,https://angel.co/shivakp2111-gmail-com,FALSE,Bengaluru/ India,Undefined
Tim Graham,timgraham,,TRUE,Philadelphia/ PA,united states
Manan,mentix02,appstreet.io,TRUE,India,india
Hasan Ramezani,hramezani,http://stackoverflow.com/users/3465428/hasan-ramezani,TRUE,Berlin,germany
oliver,MyungSeKyo,,TRUE,Seoul/ South Korea,korea
Mariusz Felisiak,felixxm,https://twitter.com/MariuszFelisiak,TRUE,Toruń/ Poland,Undefined
